,ref,year,var,question
19,E0021920,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_199920
20,E0021921,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_199921
21,E0021922,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_199922
22,E0021923,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_199923
23,E0021924,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_199924
24,E0021925,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_199925
25,E0021926,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_199926
26,E0021927,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_199927
27,E0021928,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_199928
28,E0021929,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_199929
29,E0021930,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_199930
30,E0021931,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_199931
31,E0021932,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_199932
32,E0021933,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_199933
33,E0021934,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_199934
34,E0021935,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_199935
35,E0021936,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_199936
36,E0021937,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_199937
37,E0021938,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_199938
38,E0021939,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_199939
39,E0021940,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_199940
40,E0021941,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_199941
41,E0021942,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_199942
42,E0021943,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_199943
43,E0021944,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_199944
44,E0021945,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_199945
45,E0021946,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_199946
46,E0021947,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_199947
47,E0021948,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_199948
48,E0021949,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_199949
49,E0021950,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_199950
50,E0021951,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_199951
51,E0021952,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_199952
52,E0022001,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200001
53,E0022002,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200002
54,E0022003,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200003
55,E0022004,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200004
56,E0022005,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200005
57,E0022006,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200006
58,E0022007,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200007
59,E0022008,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200008
60,E0022009,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200009
61,E0022010,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200010
62,E0022011,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200011
63,E0022012,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200012
64,E0022013,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200013
65,E0022014,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200014
66,E0022015,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200015
67,E0022016,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200016
68,E0022017,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200017
69,E0022018,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200018
70,E0022019,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200019
71,E0022020,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200020
72,E0022021,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200021
73,E0022022,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200022
74,E0022023,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200023
75,E0022024,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200024
76,E0022025,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200025
77,E0022026,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200026
78,E0022027,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200027
79,E0022028,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200028
80,E0022029,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200029
81,E0022030,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200030
82,E0022031,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200031
83,E0022032,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200032
84,E0022033,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200033
85,E0022034,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200034
86,E0022035,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200035
87,E0022036,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200036
88,E0022037,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200037
89,E0022038,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200038
90,E0022039,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200039
91,E0022040,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200040
92,E0022041,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200041
93,E0022042,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200042
94,E0022043,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200043
95,E0022044,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200044
96,E0022045,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200045
97,E0022046,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200046
98,E0022047,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200047
99,E0022048,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200048
100,E0022049,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200049
101,E0022050,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200050
102,E0022051,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200051
103,E0022052,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200052
104,E0022053,XRND,2000 EMPLOYMENT: TOTAL HOURS WORKED WEEK 53,EMP_HOURS_200053
105,E0022101,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200101
106,E0022102,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200102
107,E0022103,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200103
108,E0022104,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200104
109,E0022105,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200105
110,E0022106,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200106
111,E0022107,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200107
112,E0022108,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200108
113,E0022109,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200109
114,E0022110,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200110
115,E0022111,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200111
116,E0022112,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200112
117,E0022113,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200113
118,E0022114,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200114
119,E0022115,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200115
120,E0022116,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200116
121,E0022117,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200117
122,E0022118,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200118
123,E0022119,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200119
124,E0022120,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200120
125,E0022121,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200121
126,E0022122,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200122
127,E0022123,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200123
128,E0022124,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200124
129,E0022125,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200125
130,E0022126,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200126
131,E0022127,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200127
132,E0022128,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200128
133,E0022129,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200129
134,E0022130,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200130
135,E0022131,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200131
136,E0022132,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200132
137,E0022133,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200133
138,E0022134,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200134
139,E0022135,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200135
140,E0022136,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200136
141,E0022137,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200137
142,E0022138,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200138
143,E0022139,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200139
144,E0022140,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200140
145,E0022141,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200141
146,E0022142,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200142
147,E0022143,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200143
148,E0022144,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200144
149,E0022145,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200145
150,E0022146,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200146
151,E0022147,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200147
152,E0022148,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200148
153,E0022149,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200149
154,E0022150,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200150
155,E0022151,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200151
156,E0022152,XRND,2001 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200152
157,E0022201,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200201
158,E0022202,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200202
159,E0022203,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200203
160,E0022204,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200204
161,E0022205,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200205
162,E0022206,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200206
163,E0022207,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200207
164,E0022208,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200208
165,E0022209,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200209
166,E0022210,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200210
167,E0022211,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200211
168,E0022212,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200212
169,E0022213,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200213
170,E0022214,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200214
171,E0022215,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200215
172,E0022216,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200216
173,E0022217,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200217
174,E0022218,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200218
175,E0022219,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200219
176,E0022220,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200220
177,E0022221,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200221
178,E0022222,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200222
179,E0022223,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200223
180,E0022224,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200224
181,E0022225,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200225
182,E0022226,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200226
183,E0022227,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200227
184,E0022228,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200228
185,E0022229,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200229
186,E0022230,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200230
187,E0022231,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200231
188,E0022232,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200232
189,E0022233,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200233
190,E0022234,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200234
191,E0022235,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200235
192,E0022236,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200236
193,E0022237,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200237
194,E0022238,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200238
195,E0022239,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200239
196,E0022240,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200240
197,E0022241,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200241
198,E0022242,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200242
199,E0022243,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200243
200,E0022244,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200244
201,E0022245,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200245
202,E0022246,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200246
203,E0022247,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200247
204,E0022248,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200248
205,E0022249,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200249
206,E0022250,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200250
207,E0022251,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200251
208,E0022252,XRND,2002 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200252
209,E0022301,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200301
210,E0022302,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200302
211,E0022303,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200303
212,E0022304,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200304
213,E0022305,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200305
214,E0022306,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200306
215,E0022307,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200307
216,E0022308,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200308
217,E0022309,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200309
218,E0022310,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200310
219,E0022311,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200311
220,E0022312,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200312
221,E0022313,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200313
222,E0022314,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200314
223,E0022315,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200315
224,E0022316,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200316
225,E0022317,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200317
226,E0022318,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200318
227,E0022319,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200319
228,E0022320,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200320
229,E0022321,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200321
230,E0022322,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200322
231,E0022323,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200323
232,E0022324,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200324
233,E0022325,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200325
234,E0022326,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200326
235,E0022327,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200327
236,E0022328,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200328
237,E0022329,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200329
238,E0022330,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200330
239,E0022331,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200331
240,E0022332,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200332
241,E0022333,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200333
242,E0022334,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200334
243,E0022335,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200335
244,E0022336,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200336
245,E0022337,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200337
246,E0022338,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200338
247,E0022339,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200339
248,E0022340,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200340
